,Unnamed: 0,payment_date,volume,is_workday,lag_30,lag_61,lag_91,ewm_7,ewm_30,ewm_91
0,0,2025-02-01,1741.0,0,0.0,0.0,0.0,1741.0,1741.0,1741.0
1,1,2025-02-02,1375.0,0,0.0,0.0,0.0,1649.5,1717.3870967741937,1733.0434782608695
2,2,2025-02-03,0.0,1,0.0,0.0,0.0,1237.125,1606.5879292403747,1695.3686200378072
3,3,2025-02-04,1312.0,1,0.0,0.0,0.0,1255.84375,1587.5822563861573,1687.0345196022026
4,4,2025-02-05,825.0,1,0.0,0.0,0.0,1148.1328125,1538.3834011354375,1668.2946387412853
5,5,2025-02-06,429.0,1,0.0,0.0,0.0,968.349609375,1466.8102784815385,1641.3534509425617
6,6,2025-02-07,520.0,1,0.0,0.0,0.0,856.26220703125,1405.7257443859553,1616.976202009028
7,7,2025-02-08,1187.0,0,0.0,0.0,0.0,938.9466552734375,1391.6144060384743,1607.6288932697014
8,8,2025-02-09,1280.0,0,0.0,0.0,0.0,1024.2099914550781,1384.4134766166371,1600.506526024708
9,9,2025-02-10,0.0,1,0.0,0.0,0.0,768.1574935913086,1295.0964781252412,1565.712905893736
10,10,2025-02-11,0.0,1,0.0,0.0,0.0,576.1181201934814,1211.5418666332903,1531.6756688090895
11,11,2025-02-12,437.0,1,0.0,0.0,0.0,541.3385901451111,1161.571423624691,1507.8783716610658
12,12,2025-02-13,1157.0,1,0.0,0.0,0.0,695.2539426088333,1161.2764930682595,1500.2505809727818
13,13,2025-02-14,2004.0,1,0.0,0.0,0.0,1022.440456956625,1215.6457515799848,1511.2016552994603
14,14,2025-02-15,2462.0,0,0.0,0.0,0.0,1382.3303427174687,1296.0557030909536,1531.8711845320806
15,15,2025-02-16,1435.0,0,0.0,0.0,0.0,1395.4977570381016,1305.019851278634,1529.765289216166
16,16,2025-02-17,2215.0,1,0.0,0.0,0.0,1600.3733177785762,1363.7282479703351,1544.6616959723362
17,17,2025-02-18,1738.0,1,0.0,0.0,0.0,1634.7799883339321,1387.8748126174105,1548.8647025816333
18,18,2025-02-19,1748.0,1,0.0,0.0,0.0,1663.084991250449,1411.1086956743518,1553.1937307863805
19,19,2025-02-20,1150.0,1,0.0,0.0,0.0,1534.8137434378368,1394.2629733727808,1544.4286496823288
20,20,2025-02-21,1703.0,1,0.0,0.0,0.0,1576.8603075783776,1414.1814912196983,1547.8758529501042
21,21,2025-02-22,1732.0,0,0.0,0.0,0.0,1615.6452306837832,1434.685911141008,1551.878551799015
22,22,2025-02-23,1701.0,0,0.0,0.0,0.0,1636.9839230128373,1451.8674652609432,1555.12032241208
23,23,2025-02-24,465.0,1,0.0,0.0,0.0,1343.987942259628,1388.1985965344309,1531.4220545335565
24,24,2025-02-25,1826.0,1,0.0,0.0,0.0,1464.490956694721,1416.443848370919,1537.8259229132618
25,25,2025-02-26,1940.0,1,0.0,0.0,0.0,1583.3682175210408,1450.2216646050535,1546.5688376325388
26,26,2025-02-27,1520.0,1,0.0,0.0,0.0,1567.5261631407807,1454.72349269505,1545.9912542057446
27,27,2025-02-28,2345.0,1,0.0,0.0,0.0,1761.8946223555854,1512.1606867147243,1563.361009549098
28,28,2025-03-01,1528.0,0,0.0,0.0,0.0,1703.4209667666892,1513.1825778944196,1562.5922919502045
29,29,2025-03-02,1758.0,0,0.0,0.0,0.0,1717.0657250750169,1528.9772502883282,1566.8402856034609
30,30,2025-03-03,2016.0,1,1741.0,0.0,0.0,1791.7992938062625,1560.3980728503716,1576.604627220777
31,31,2025-03-04,1985.0,1,1375.0,0.0,0.0,1840.099470354697,1587.7917455697025,1585.4827874985863
32,32,2025-03-05,910.0,1,0.0,0.0,0.0,1607.5746027660227,1544.0632458555283,1570.7983790747041
33,33,2025-03-06,2014.0,1,1312.0,0.0,0.0,1709.180952074517,1574.3817461229137,1580.4331969209063
34,34,2025-03-07,787.0,1,825.0,0.0,0.0,1478.6357140558878,1523.582923792403,1563.1846491617562
35,35,2025-03-08,472.0,0,429.0,0.0,0.0,1226.976785541916,1455.7388641928933,1539.4632437451965
36,36,2025-03-09,1781.0,0,520.0,0.0,0.0,1365.482589156437,1476.7234535998036,1544.7140427942138
37,37,2025-03-10,1077.0,1,1187.0,0.0,0.0,1293.3619418673277,1450.934843690139,1534.546346211731
38,38,2025-03-11,1422.0,1,1280.0,0.0,0.0,1325.5214564004957,1449.0680795810977,1532.0996865114757
39,39,2025-03-12,1694.0,1,0.0,0.0,0.0,1417.6410923003718,1464.8701389629623,1535.619258543835
40,40,2025-03-13,2135.0,1,0.0,0.0,0.0,1596.980819225279,1508.104323545997,1548.6492746624472
41,41,2025-03-14,1421.0,1,437.0,0.0,0.0,1552.9856144189594,1502.484689768836,1545.8742904306548
42,42,2025-03-15,1992.0,0,1157.0,0.0,0.0,1662.7392108142194,1534.0663226869756,1555.5726754212928
43,43,2025-03-16,1344.0,0,2004.0,0.0,0.0,1583.0544081106646,1521.803979287816,1550.9732694338734
44,44,2025-03-17,2240.0,1,2462.0,0.0,0.0,1747.2908060829984,1568.1392064305376,1565.9521114027023
45,45,2025-03-18,1984.0,1,1435.0,0.0,0.0,1806.4681045622488,1594.9689350479223,1575.0401089809045
46,46,2025-03-19,1824.0,1,2215.0,0.0,0.0,1810.8510784216865,1609.7451327867661,1580.452280524798
47,47,2025-03-20,891.0,1,1738.0,0.0,0.0,1580.8883088162647,1563.374479058588,1565.464187469911
48,48,2025-03-21,1410.0,1,1748.0,0.0,0.0,1538.1662316121985,1553.4793513773889,1562.0845312205652
